Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak); Alat Olahraga",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Perlengkapan Kantor atau Sekolah; Buku Anak,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah",Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Olahraga,Website Gramedia.com,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ; Menulis (diari, blog, atau lainnya)","Alat Olahraga; Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Netral,Sangat Setuju
"Jurnal/Perencana (Planner); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Melukis atau menggambar ; Olahraga,Mainan,Sangat Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi",Membaca buku atau majalah ; Bermain musik,Alat Musik & kesenian,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Mainan/Collectible item; Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas; Menambah pengetahuan",Bermain musik,"Kesehatan dan Kecantikan; Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis,Toko buku independen lainnya,Hiburan atau relaksasi,Melukis atau menggambar ; Olahraga; Belanja online/offline,"Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah",Setuju,Setuju,Sangat Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi; Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online); Olahraga; Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Mainan",Setuju,Netral,Sangat Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis",Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Alat Musik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Melukis atau menggambar ,"Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
Alat Tulis Umum (Kantor/Sekolah); Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan; Kado atau hadiah",Menghadiri acara budaya atau edukasi; Bermain musik; Membaca buku atau majalah ,Alat Musik & kesenian; Alat Olahraga; Mainan,Netral,Sangat Tidak Setuju,Netral,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas; Kado atau hadiah",Membaca buku atau majalah ; Melukis atau menggambar ,"Kesehatan dan Kecantikan; Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Komik/Novel Grafis; Mainan/Collectible item,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi; Travelling; Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Olahraga; Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Belanja online/offline; Travelling",Alat Musik & kesenian; Mainan,Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Kado atau hadiah; Untuk mengekspresikan kreativitas,Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Tidak Setuju,Setuju
"Alat Olahraga; Komik/Novel Grafis; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Musik; Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Sangat Setuju,Sangat Setuju,Netral,Setuju
Alat Olahraga; Jurnal/Perencana (Planner); Komik/Novel Grafis,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Perlengkapan Seni/Kreatif; Novel Fiksi; Komik/Novel Grafis,Toko Gramedia,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Travelling; Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Olahraga,Kesehatan dan Kecantikan,Netral,Setuju,Sangat Setuju,Tidak Setuju
"Buku Anak; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Kado atau hadiah,Bermain musik; Melukis atau menggambar ; Travelling,"Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Netral,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain musik; Belanja online/offline,Kesehatan dan Kecantikan; Alat Musik & kesenian,Sangat Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Seni/Kreatif; Komik/Novel Grafis; Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju
Mainan/Collectible item; Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga; Alat Tulis kantor atau sekolah",Setuju,Netral,Sangat Setuju,Setuju
Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Membaca buku atau majalah ; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Komik/Novel Grafis,Toko buku independen lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
Jurnal/Perencana (Planner); Alat Olahraga; Buku Anak,Website Gramedia.com,Kado atau hadiah,Melukis atau menggambar ; Membaca buku atau majalah ; Travelling,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
Perlengkapan Kantor atau Sekolah; Alat Musik; Alat Olahraga,Toko Gramedia,Hiburan atau relaksasi,"Olahraga; Membaca buku atau majalah ; Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Setuju,Setuju,Netral
Perlengkapan Seni/Kreatif; Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah ,Alat Olahraga,Sangat Setuju,Sangat Setuju,Setuju,Setuju
Jurnal/Perencana (Planner),Toko buku independen lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga",Netral,Netral,Sangat Tidak Setuju,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Musik & kesenian,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Bermain musik; Travelling; Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Mainan/Collectible item; Alat Musik",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain musik; Belanja online/offline; Bermain game (offline/online),Kesehatan dan Kecantikan; Mainan,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Musik; Mainan/Collectible item",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah","Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner); Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Membaca buku atau majalah ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan; Mainan",Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
"Novel Fiksi; Mainan/Collectible item; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ; Melukis atau menggambar ; Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Netral,Setuju,Tidak Setuju,Setuju
Jurnal/Perencana (Planner); Buku Anak; Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Hiburan atau relaksasi,Olahraga; Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,Alat Olahraga; Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Sangat Tidak Setuju,Setuju
Buku Anak,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Melukis atau menggambar ; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Menghadiri acara budaya atau edukasi; Bermain game (offline/online),Mainan; Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline; Menulis (diari, blog, atau lainnya); Bermain game (offline/online)","Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Tidak Setuju,Netral
"Buku Anak; Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Olahraga; Travelling; Bermain game (offline/online),"Alat Olahraga; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Sangat Tidak Setuju,Setuju,Netral,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item; Buku Anak",Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah ; Belanja online/offline,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Setuju,Setuju
Jurnal/Perencana (Planner); Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ; Bermain musik; Membaca buku atau majalah ,Alat Olahraga; Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga; Bermain musik,Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Jurnal/Perencana (Planner),Website Gramedia.com,Menambah pengetahuan; Kado atau hadiah; Hiburan atau relaksasi,Bermain musik,Mainan; Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Sangat Tidak Setuju,Setuju
Novel Fiksi; Perlengkapan Kantor atau Sekolah; Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah",Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
"Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Belanja online/offline; Travelling; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga",Netral,Tidak Setuju,Netral,Setuju
Buku Anak; Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Bermain game (offline/online); Melukis atau menggambar ","Buku fiksi (novel, komik, buku anak); Alat Olahraga",Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Belanja online/offline,Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online); Bermain musik; Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)",Alat Olahraga,Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online); Olahraga; Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya); Travelling; Olahraga",Alat Olahraga,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Kado atau hadiah; Hiburan atau relaksasi,Belanja online/offline; Menghadiri acara budaya atau edukasi,Alat Olahraga,Netral,Sangat Tidak Setuju,Netral,Setuju
Komik/Novel Grafis; Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah",Menghadiri acara budaya atau edukasi; Olahraga,"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Olahraga; Komik/Novel Grafis; Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas; Hiburan atau relaksasi",Olahraga,"Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Mainan/Collectible item; Alat Olahraga,Aplikasi Gramedia.com,Kado atau hadiah,Belanja online/offline,"Alat Olahraga; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner),Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan","Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya); Belanja online/offline","Buku fiksi (novel, komik, buku anak); Mainan",Netral,Tidak Setuju,Netral,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis",Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Melukis atau menggambar ,Alat Musik & kesenian; Mainan; Alat Olahraga,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan; Kado atau hadiah,"Menulis (diari, blog, atau lainnya); Olahraga; Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Novel Fiksi; Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Olahraga,"Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan",Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Komik/Novel Grafis; Perlengkapan Kantor atau Sekolah; Alat Olahraga,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Netral,Sangat Setuju
