Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Buku Anak",Website Gramedia.com,Untuk mengekspresikan kreativitas
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Hiburan atau relaksasi
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Hiburan atau relaksasi"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,Hiburan atau relaksasi
Alat Olahraga,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Kado atau hadiah"
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan"
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Komik/Novel Grafis, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan"
Buku Anak,Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi"
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Menambah pengetahuan
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
Alat Musik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Novel Fiksi, Alat Musik",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,Hiburan atau relaksasi
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Komik/Novel Grafis",Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Menambah pengetahuan
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,Hiburan atau relaksasi
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan"
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi"
"Buku Anak, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
Novel Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
