Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Menambah pengetahuan', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},1
"{'Edukasi', 'Novel Fiksi', 'Buku Anak'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},1
"{'Buku Anak', 'Alat Seni'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Alat Seni'}",{'Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},2
{'Komik'},{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}",{'Literasi'},{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Sport & mainanan', 'Buku Non-Fiksi'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Lifestyle', 'Seni'}","{'Self Wear', 'Daily needs', 'Alat Seni'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},1
"{'Buku Non-Fiksi', 'Alat Seni'}",{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Lifestyle'}",{'Alat Seni'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Website Gramedia.com'},{'Hiburan atau relaksasi'},"{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},3
{'Sport & mainanan'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Setuju'},{'Tidak Setuju'},{'Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},{'Menambah pengetahuan'},"{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Seni'},{'Alat Seni'},{'Sangat Setuju'},{'Netral'},{'Setuju'},{'Setuju'},4
"{'Alat Kantor/Sekolah', 'Komik'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},"{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}","{'Self Wear', 'Daily needs', 'Alat Seni'}",{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},2
"{'Novel Fiksi', 'Komik', 'Buku Non-Fiksi'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Netral'},1
"{'Komik', 'Buku Non-Fiksi'}",{'Toko alat tulis lainnya'},{'Menambah pengetahuan'},"{'Lifestyle', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Setuju'},{'Netral'},2
{'Alat Seni'},{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Lifestyle'}","{'Self Wear', 'Alat Seni'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},3
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},{'Menambah pengetahuan'},"{'Literasi', 'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},1
"{'Edukasi', 'Alat Seni'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', 'Menambah pengetahuan'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},1
"{'Sport & mainanan', 'Komik'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear', 'Alat Seni'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},3
{'Sport & mainanan'},{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan'}","{'Literasi', 'Seni'}",{'Daily needs'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Edukasi', 'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}",{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Aktivitas Rekreasional'}","{'Self Wear', 'Daily needs', 'Alat Seni'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},0
"{'Edukasi', 'Komik', 'Sport & mainanan'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', 'Kado atau hadiah'}",{'Literasi'},"{'Daily needs', 'Alat Seni'}",{'Netral'},{'Netral'},{'Setuju'},{'Sangat Setuju'},3
"{'Buku Anak', 'Alat Seni'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},{'Seni'},{'Self Wear'},{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Komik'}",{'Toko Gramedia'},{'Kado atau hadiah'},"{'Literasi', 'Seni'}",{'edukasi'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},2
"{'Novel Fiksi', 'Komik', 'Alat Seni'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Self Wear'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},1
{'Alat Seni'},{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},"{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Alat Seni'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Setuju'},1
"{'Buku Anak', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Lifestyle', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Sangat Setuju'},{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},0
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Setuju'},{'Netral'},{'Setuju'},{'Tidak Setuju'},4
"{'Alat Kantor/Sekolah', 'Komik', 'Alat Seni'}",{'Aplikasi Gramedia Digital (ebook)'},{'Hiburan atau relaksasi'},"{'Literasi', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Lifestyle'},{'edukasi'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},0
{'Buku Anak'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Tidak Setuju'},{'Netral'},4
{'Komik'},{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Buku Anak'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear', 'Daily needs'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Literasi'},"{'edukasi', 'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Komik', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},3
{'Alat Kantor/Sekolah'},{'Toko Gramedia'},{'Hiburan atau relaksasi'},"{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'edukasi'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
"{'Novel Fiksi', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi'}",{'Seni'},{'edukasi'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},2
{'Edukasi'},{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Seni'}","{'Daily needs', 'Alat Seni'}",{'Setuju'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},2
"{'Edukasi', 'Sport & mainanan', 'Alat Seni'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan'}",{'Seni'},"{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Sport & mainanan', 'Buku Non-Fiksi', 'Alat Seni'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},{'Aktivitas Rekreasional'},{'edukasi'},{'Netral'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},3
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},{'Seni'},"{'Self Wear', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Setuju'},1
"{'Sport & mainanan', 'Novel Fiksi', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Literasi', 'Lifestyle'}","{'edukasi', 'Alat Seni'}",{'Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},2
"{'Alat Kantor/Sekolah', 'Buku Anak', 'Alat Seni'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Lifestyle'},{'Alat Seni'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},2
{'Buku Anak'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}",{'Seni'},"{'edukasi', 'Self Wear', 'Alat Seni'}",{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}",{'Lifestyle'},{'Self Wear'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},1
{'Sport & mainanan'},{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Kantor/Sekolah', 'Buku Anak'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Sport & mainanan', 'Buku Anak', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle'}",{'edukasi'},{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},3
"{'Alat Kantor/Sekolah', 'Komik'}",{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
{'Alat Seni'},{'Aplikasi Gramedia Digital (ebook)'},"{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Lifestyle'},{'Self Wear'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}",{'Seni'},"{'edukasi', 'Self Wear'}",{'Setuju'},{'Netral'},{'Tidak Setuju'},{'Netral'},4
"{'Alat Kantor/Sekolah', 'Novel Fiksi', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},{'Self Wear'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},2
"{'Novel Fiksi', 'Buku Non-Fiksi'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},4
"{'Komik', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},2
{'Komik'},{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle', 'Seni'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},3
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}",{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Literasi'},{'Self Wear'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},1
{'Edukasi'},{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Netral'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi'}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}","{'Self Wear', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},1
"{'Alat Kantor/Sekolah', 'Komik'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Alat Seni'},{'Netral'},{'Sangat Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Komik', 'Buku Anak', 'Sport & mainanan'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Lifestyle'},{'edukasi'},{'Netral'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},3
{'Sport & mainanan'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Literasi'},{'Alat Seni'},{'Netral'},{'Tidak Setuju'},{'Netral'},{'Setuju'},1
{'Alat Kantor/Sekolah'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Literasi', 'Lifestyle', 'Seni'}","{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Komik', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'Daily needs'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Netral'},0
{'Buku Non-Fiksi'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Alat Kantor/Sekolah', 'Novel Fiksi'}",{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Seni'},{'edukasi'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},2
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Komik'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Daily needs'}",{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},0
{'Buku Non-Fiksi'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Lifestyle', 'Seni'}",{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Netral'},{'Tidak Setuju'},1
"{'Sport & mainanan', 'Novel Fiksi', 'Komik'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Lifestyle'}",{'Daily needs'},{'Tidak Setuju'},{'Netral'},{'Setuju'},{'Sangat Setuju'},3
{'Novel Fiksi'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi', 'Menambah pengetahuan'}",{'Seni'},{'Self Wear'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Lifestyle'}","{'Self Wear', 'Alat Seni'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
