Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
{'Alat Tulis Umum (Kantor/Sekolah)'},{'Website Gramedia.com'},"{'Menambah pengetahuan', 'Kado atau hadiah'}","{'Olahraga', 'Melukis atau menggambar'}",{'Alat Olahraga'},{'Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Novel Fiksi', 'Buku Anak', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Olahraga', 'Membaca buku atau majalah'}",{'Alat Olahraga'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},4
"{'Perlengkapan Seni/Kreatif', 'Buku Anak', 'Alat Musik'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian'}",{'Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},2
{'Komik/Novel Grafis'},{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}",{'Membaca buku atau majalah'},{'Alat Olahraga'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Alat Olahraga'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Bermain musik', 'Belanja online/offline', 'Melukis atau menggambar'}","{'Mainan', 'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},3
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Perlengkapan Seni/Kreatif'}",{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Belanja online/offline', 'Membaca buku atau majalah'}",{'Alat Musik & kesenian'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},3
"{'Buku Anak', 'Perlengkapan Kantor atau Sekolah'}",{'Website Gramedia.com'},{'Hiburan atau relaksasi'},"{'Menghadiri acara budaya atau edukasi', 'Membaca buku atau majalah'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},4
{'Alat Olahraga'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Menghadiri acara budaya atau edukasi', 'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Setuju'},{'Tidak Setuju'},{'Setuju'},2
"{'Jurnal/Perencana (Planner)', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)'}",{'Aplikasi Gramedia.com'},{'Menambah pengetahuan'},"{'Bermain game (offline/online)', 'Menulis (diari, blog, atau lainnya)'}","{'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan', 'Alat Olahraga'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Jurnal/Perencana (Planner)', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Olahraga'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Tulis kantor atau sekolah'}",{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},2
"{'Mainan/Collectible item', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Melukis atau menggambar'},{'Alat Musik & kesenian'},{'Sangat Setuju'},{'Netral'},{'Setuju'},{'Setuju'},1
"{'Komik/Novel Grafis', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},"{'Bermain game (offline/online)', 'Bermain musik', 'Belanja online/offline'}","{'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},4
"{'Novel Fiksi', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Komik/Novel Grafis'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Bermain game (offline/online)', 'Travelling', 'Olahraga'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Netral'},4
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Komik/Novel Grafis'}",{'Toko alat tulis lainnya'},{'Menambah pengetahuan'},"{'Travelling', 'Melukis atau menggambar'}","{'Alat Musik & kesenian', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Setuju'},{'Netral'},0
{'Alat Musik'},{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Belanja online/offline', 'Membaca buku atau majalah'}","{'Alat Musik & kesenian', 'Kesehatan dan Kecantikan'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},2
"{'Mainan/Collectible item', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko Gramedia'},{'Menambah pengetahuan'},"{'Menulis (diari, blog, atau lainnya)', 'Menghadiri acara budaya atau edukasi', 'Melukis atau menggambar'}","{'Mainan', 'Kesehatan dan Kecantikan'}",{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},3
"{'Perlengkapan Seni/Kreatif', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Hiburan atau relaksasi'}","{'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Kesehatan dan Kecantikan', 'Alat Olahraga', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},3
"{'Mainan/Collectible item', 'Komik/Novel Grafis'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Bermain game (offline/online)', 'Membaca buku atau majalah'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian', 'Kesehatan dan Kecantikan'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},5
"{'Mainan/Collectible item', 'Alat Olahraga'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan'}","{'Melukis atau menggambar', 'Membaca buku atau majalah'}",{'Alat Tulis kantor atau sekolah'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Perlengkapan Kantor atau Sekolah'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}","{'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},5
"{'Komik/Novel Grafis', 'Alat Olahraga', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', 'Kado atau hadiah'}",{'Membaca buku atau majalah'},"{'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah'}",{'Netral'},{'Netral'},{'Setuju'},{'Sangat Setuju'},1
"{'Buku Anak', 'Alat Musik'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},{'Bermain musik'},{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Jurnal/Perencana (Planner)', 'Komik/Novel Grafis', 'Alat Olahraga'}",{'Toko Gramedia'},{'Kado atau hadiah'},"{'Melukis atau menggambar', 'Menulis (diari, blog, atau lainnya)'}","{'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},0
"{'Novel Fiksi', 'Perlengkapan Seni/Kreatif', 'Komik/Novel Grafis'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Bermain game (offline/online)'},{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},3
{'Perlengkapan Seni/Kreatif'},{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},"{'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Setuju'},2
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Bermain musik', 'Belanja online/offline'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian'}",{'Sangat Setuju'},{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},1
{'Perlengkapan Kantor atau Sekolah'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Bermain game (offline/online)', 'Travelling', 'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Alat Olahraga'}",{'Setuju'},{'Netral'},{'Setuju'},{'Tidak Setuju'},4
"{'Perlengkapan Seni/Kreatif', 'Komik/Novel Grafis', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Aplikasi Gramedia Digital (ebook)'},{'Hiburan atau relaksasi'},"{'Menulis (diari, blog, atau lainnya)', 'Menghadiri acara budaya atau edukasi', 'Olahraga'}",{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},2
"{'Mainan/Collectible item', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Belanja online/offline'},"{'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},1
{'Buku Anak'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Bermain game (offline/online)', 'Travelling'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Tidak Setuju'},{'Netral'},4
{'Komik/Novel Grafis'},{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Bermain musik', 'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Alat Olahraga'}",{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},4
"{'Jurnal/Perencana (Planner)', 'Buku Anak', 'Alat Olahraga'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Travelling', 'Belanja online/offline', 'Menghadiri acara budaya atau edukasi'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},0
"{'Alat Olahraga', 'Alat Musik', 'Perlengkapan Kantor atau Sekolah'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Alat Tulis kantor atau sekolah', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},1
"{'Perlengkapan Seni/Kreatif', 'Komik/Novel Grafis'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Travelling', 'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},5
{'Jurnal/Perencana (Planner)'},{'Toko Gramedia'},{'Hiburan atau relaksasi'},"{'Travelling', 'Olahraga', 'Menulis (diari, blog, atau lainnya)'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
"{'Novel Fiksi', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi'}",{'Bermain musik'},"{'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},3
"{'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Melukis atau menggambar', 'Olahraga'}","{'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah'}",{'Setuju'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},2
"{'Mainan/Collectible item', 'Alat Musik', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan'}",{'Bermain musik'},"{'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Mainan/Collectible item', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Alat Musik'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},{'Bermain game (offline/online)'},"{'Buku fiksi (novel, komik, buku anak)'}",{'Netral'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},5
"{'Jurnal/Perencana (Planner)', 'Buku Anak', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},{'Melukis atau menggambar'},"{'Mainan', 'Alat Musik & kesenian'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Setuju'},0
"{'Mainan/Collectible item', 'Novel Fiksi', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Belanja online/offline', 'Menulis (diari, blog, atau lainnya)'}","{'Alat Musik & kesenian', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Jurnal/Perencana (Planner)', 'Perlengkapan Seni/Kreatif', 'Buku Anak'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Belanja online/offline'},{'Alat Musik & kesenian'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},4
{'Buku Anak'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}",{'Melukis atau menggambar'},"{'Buku fiksi (novel, komik, buku anak)', 'Alat Musik & kesenian', 'Alat Olahraga'}",{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Belanja online/offline', 'Travelling'}",{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},2
{'Alat Olahraga'},{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Bermain musik', 'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}","{'Alat Tulis kantor atau sekolah', 'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Jurnal/Perencana (Planner)', 'Buku Anak', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Belanja online/offline', 'Travelling', 'Menghadiri acara budaya atau edukasi'}","{'Mainan', 'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Kesehatan dan Kecantikan'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Mainan/Collectible item', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Anak'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Menulis (diari, blog, atau lainnya)', 'Belanja online/offline', 'Membaca buku atau majalah'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},4
"{'Jurnal/Perencana (Planner)', 'Komik/Novel Grafis', 'Perlengkapan Kantor atau Sekolah'}",{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Travelling', 'Olahraga', 'Melukis atau menggambar'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},4
{'Perlengkapan Seni/Kreatif'},{'Aplikasi Gramedia Digital (ebook)'},"{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Travelling'},"{'Mainan', 'Kesehatan dan Kecantikan', 'Alat Olahraga'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},0
{'Jurnal/Perencana (Planner)'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}",{'Melukis atau menggambar'},"{'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Setuju'},{'Netral'},{'Tidak Setuju'},{'Netral'},2
"{'Novel Fiksi', 'Perlengkapan Kantor atau Sekolah', 'Perlengkapan Seni/Kreatif'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Bermain game (offline/online)'},{'Mainan'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},4
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Novel Fiksi'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Bermain game (offline/online)', 'Travelling'}","{'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},5
"{'Buku Anak', 'Komik/Novel Grafis'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Bermain musik', 'Membaca buku atau majalah', 'Olahraga'}","{'Mainan', 'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},3
