Produk sering beli,Motivasi utama pembelian
"Mainan/Collectible item, Alat Olahraga","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Kado atau hadiah, Untuk mengekspresikan kreativitas"
Novel Fiksi,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Alat Olahraga,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Komik/Novel Grafis","Menambah pengetahuan, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Kado atau hadiah
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Alat Musik,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Alat Musik,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Untuk mengekspresikan kreativitas
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah"
"Novel Fiksi, Alat Musik",Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Jurnal/Perencana (Planner)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Menambah pengetahuan
Buku Anak,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Kado atau hadiah
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item","Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Mainan/Collectible item","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Novel Fiksi,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Komik/Novel Grafis","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Perlengkapan Kantor atau Sekolah,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Anak","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Sebagai bentuk 'self-reward' atau apresiasi diri
Novel Fiksi,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Perlengkapan Seni/Kreatif,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Komik/Novel Grafis,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Untuk mengekspresikan kreativitas
"Jurnal/Perencana (Planner), Buku Anak","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi","Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
Buku Anak,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Anak, Novel Fiksi","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
Mainan/Collectible item,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Menambah pengetahuan, Hiburan atau relaksasi"
Alat Olahraga,"Menambah pengetahuan, Hiburan atau relaksasi"
Jurnal/Perencana (Planner),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Perlengkapan Seni/Kreatif,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Kado atau hadiah
Novel Fiksi,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Perlengkapan Seni/Kreatif, Novel Fiksi","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Komik/Novel Grafis, Mainan/Collectible item","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah"
Mainan/Collectible item,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Alat Musik, Komik/Novel Grafis","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)","Hiburan atau relaksasi, Menambah pengetahuan"
Komik/Novel Grafis,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Anak","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,Kado atau hadiah
Mainan/Collectible item,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Musik,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Musik, Mainan/Collectible item, Jurnal/Perencana (Planner)","Kado atau hadiah, Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Alat Musik,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Komik/Novel Grafis, Buku Anak, Novel Fiksi",Hiburan atau relaksasi
"Alat Musik, Novel Fiksi, Jurnal/Perencana (Planner)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Alat Olahraga, Komik/Novel Grafis","Kado atau hadiah, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Kado atau hadiah
