Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,Kado atau hadiah,Olahraga
Alat Olahraga,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni, Bermain musik"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menulis (diari, blog, atau lainnya)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah",Membaca buku atau majalah = Literasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Melukis atau menggambar = Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Olahraga"
Alat Musik,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah = Literasi, Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Alat Olahraga, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Membaca buku atau majalah = Literasi"
"Alat Musik, Buku Anak",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline = Lifestyle
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Hiburan atau relaksasi,"Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya), Bermain musik"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga, Menghadiri acara budaya atau edukasi"
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas",Membaca buku atau majalah = Literasi
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain musik"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Hiburan atau relaksasi","Travelling, Menulis (diari, blog, atau lainnya)"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi,Bermain musik
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi, Travelling"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline = Lifestyle"
Jurnal/Perencana (Planner),Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi","Olahraga, Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik, Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Bermain musik, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi, Travelling"
Alat Olahraga,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Bermain musik, Menghadiri acara budaya atau edukasi"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online) = Aktivitas Rekreasional
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Travelling, Melukis atau menggambar = Seni, Bermain musik"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar = Seni
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Olahraga
"Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Kado atau hadiah",Membaca buku atau majalah = Literasi
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Membaca buku atau majalah = Literasi
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik, Travelling"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Bermain musik
"Alat Olahraga, Komik/Novel Grafis, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Olahraga, Travelling"
"Mainan/Collectible item, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Belanja online/offline = Lifestyle, Olahraga, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Menambah pengetahuan,"Belanja online/offline = Lifestyle, Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,Melukis atau menggambar = Seni
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah",Bermain game (offline/online) = Aktivitas Rekreasional
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Travelling"
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Belanja online/offline = Lifestyle
Buku Anak,Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Olahraga, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain musik, Menghadiri acara budaya atau edukasi"
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Musik, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi,Belanja online/offline = Lifestyle
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Bermain musik"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Menambah pengetahuan,"Travelling, Menghadiri acara budaya atau edukasi, Olahraga"
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Travelling
Alat Musik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Travelling, Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Melukis atau menggambar = Seni, Bermain musik"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya), Olahraga"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar = Seni, Bermain musik"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Olahraga, Belanja online/offline = Lifestyle"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi",Melukis atau menggambar = Seni
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline = Lifestyle"
"Novel Fiksi, Alat Musik",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Belanja online/offline = Lifestyle, Olahraga, Membaca buku atau majalah = Literasi"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni, Bermain musik"
Novel Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Membaca buku atau majalah = Literasi, Travelling"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Olahraga
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Melukis atau menggambar = Seni, Travelling, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,Hiburan atau relaksasi,Melukis atau menggambar = Seni
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Komik/Novel Grafis",Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah = Literasi
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi, Bermain musik"
