Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas",Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain musik",Alat Olahraga
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Hiburan atau relaksasi","Travelling, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi,Bermain musik,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline, Membaca buku atau majalah , Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan, Mainan"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
Jurnal/Perencana (Planner),Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Membaca buku atau majalah ","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi","Olahraga, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain game (offline/online), Bermain musik, Travelling",Alat Tulis kantor atau sekolah
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Bermain game (offline/online)","Mainan, Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar ",Kesehatan dan Kecantikan
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Mainan, Alat Tulis kantor atau sekolah"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Bermain musik, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Travelling",Mainan
Alat Olahraga,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Belanja online/offline, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Bermain musik, Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online),Mainan
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Travelling, Melukis atau menggambar , Bermain musik","Alat Musik & kesenian, Mainan"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ,"Alat Olahraga, Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling","Mainan, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Olahraga,"Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Kado atau hadiah",Membaca buku atau majalah ,"Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik/Novel Grafis,Toko alat tulis lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Belanja online/offline, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Membaca buku atau majalah ,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Bermain musik, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Alat Olahraga"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan, Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Komik/Novel Grafis, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Olahraga, Travelling","Kesehatan dan Kecantikan, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline, Melukis atau menggambar , Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Belanja online/offline, Olahraga, Menulis (diari, blog, atau lainnya)","Alat Olahraga, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Menambah pengetahuan,"Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Musik & kesenian"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,Melukis atau menggambar ,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,Alat Musik & kesenian
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah",Bermain game (offline/online),"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Travelling","Mainan, Alat Tulis kantor atau sekolah, Alat Olahraga"
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Belanja online/offline,"Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain musik, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Alat Musik, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Membaca buku atau majalah , Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Menambah pengetahuan,"Travelling, Menghadiri acara budaya atau edukasi, Olahraga","Alat Musik & kesenian, Mainan, Alat Olahraga"
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Travelling,"Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
Alat Musik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Travelling, Membaca buku atau majalah ","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Alat Tulis kantor atau sekolah"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Untuk mengekspresikan kreativitas",Bermain game (offline/online),"Mainan, Alat Olahraga, Kesehatan dan Kecantikan"
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
